gene_symbol,ANEUPLOIDY_SCORE_rho,ANEUPLOIDY_SCORE_pval,FRACTION_GENOME_ALTERED_rho,FRACTION_GENOME_ALTERED_pval,n_samples
SCAP,0.2733588356838006,0.0004145510210861895,0.09397850455908319,0.22147231460339076,171
LARP4B,0.2472720868455223,0.001461463174803669,0.11783912799047408,0.12478447397786496,171
NBEAL2,0.2447685467746433,0.0016383710265077248,-0.17593669806846596,0.02134753799662463,171
RAB18,0.2394674220373028,0.0020790008577180694,0.019493855745470995,0.800214446289768,171
PLEKHG1,0.23941748993616616,0.002083619933315684,-0.0556843879355393,0.46944121303956865,171
ACLY,0.22928543441385524,0.003238771431756726,0.01716707296366316,0.823645645954823,171
CLCN7,0.2214058714539308,0.00450704914768318,-0.039312909084479854,0.6096943510968238,171
MAGED2,0.2108868421478109,0.006889044332282502,0.12353548583742703,0.10745033546560254,171
SHKBP1,0.20901300135237735,0.007415094970593816,-0.013395500873295947,0.8619504165118381,171
MAP4,0.20810728851787103,0.007681925795269452,-0.11696313447282597,0.12763186061687093,171
SMARCC1,0.20757745344469883,0.007841941686503595,0.09658968523634666,0.2088439946397585,171
ANKRD27,0.20141222595713254,0.009933195920662852,0.2319846833133853,0.0022648686001814655,171
NDEL1,0.1952955435678935,0.012479681305078372,0.013724298440194014,0.8585968971568206,171
MSL1,0.1949515668711744,0.012638536125206436,0.07438984951512698,0.33355446026173796,171
SCAF4,0.1923204225418351,0.013913420659280364,0.12276389154722464,0.10968108993405702,171
NISCH,0.19147018981970276,0.014348765585290711,-0.1881922073776993,0.013703318889398448,171
RPAP1,0.19077807541783648,0.014711890737823608,-0.04326807981621715,0.5741726741777148,171
LIG3,0.1888099184313671,0.015788701590212895,0.2486201602108592,0.0010420363217390754,171
KIF1C,0.18449633969428467,0.01839151175213603,0.12330748752461453,0.10810576201037489,171
CAPN15,0.17901351758891915,0.022230644586795172,0.009845927140140936,0.8982985856046711,171
PBRM1,0.17745591343401773,0.02343997303085351,-0.04897763756549084,0.5246786137456354,171
PHF23,0.17721734895080932,0.023630102315697912,-0.1320602227543754,0.08510676483325096,171
DOCK6,0.17497872641651638,0.02547973231750107,0.113432760597592,0.13961713868696465,171
QARS1,0.17429770803712494,0.026066474384936096,-0.03366695086456967,0.6620044701188693,171
SPEG,0.17403279050053885,0.026297824168756943,0.1432777397447517,0.061551230066342597,171
FAM83E,0.17223293811021412,0.027916633314160225,0.06817910455024769,0.3755907003308561,171
SENP3,0.1694986783167696,0.030538380358954908,0.2018997059422124,0.008093484299179535,171
RHBDF1,0.16908257747396424,0.030955172593857785,0.10074165451177476,0.1898430443716735,171
USP43,0.16814496357484277,0.03191210492815439,0.07783262403859612,0.3116029073768436,171
MLLT6,0.1646732955430366,0.035676953091689986,-0.21257122697295866,0.005249431301908316,171
KIF16B,0.1644624711160152,0.03591719019405158,-0.0317673649215053,0.6799953806934437,171
FLAD1,0.1617716856658738,0.039105313437624564,0.12767425521053444,0.09608657439483163,171
KIAA1217,0.15820858504724483,0.0436904160061705,-0.021530253594275562,0.7798519498636074,171
ELAC2,0.15723757348210454,0.045015211810805755,0.012139110170586925,0.8747869998945396,171
JUP,0.1565274280437167,0.04600520015865045,0.13035023540828145,0.08926150776052305,171
PLEKHA4,0.15505581806299504,0.04811461156531705,0.00040319701634215175,0.9958240401481488,171
GRN,0.1547811915067435,0.048517042532195694,-0.1982121332302498,0.009355416593416425,171
CUL7,0.15394205480708595,0.04976407876998536,0.23295067616503837,0.002168136712377078,171
CDK12,0.15326242343050386,0.05079348844986077,-0.031707365365502005,0.6805666537134709,171
APPL1,0.15267710824495764,0.05169414521021854,-0.02963378071002808,0.7004195155692206,171
ATF7IP,0.15038161859548133,0.05535503363281085,0.0836165812373139,0.2768980072272073,171
ZFP36L2,0.1496589901318093,0.05655085263914109,-0.15229807299428724,0.04674933837414248,171
DDX52,0.14869224917369148,0.0581838633900095,-0.01962465477755818,0.7989023381284429,171
MISP,0.1473171379417919,0.060573375859286106,-0.024591432778257108,0.7495260511907013,171
CCDC61,0.1466949651282257,0.06168068628323792,0.022995429833823373,0.7652924334628562,171
TDRD12,0.14663703942969908,0.06178461863160042,0.0332202052154175,0.666218700442101,171
ARHGAP23,0.14632186137251021,0.06235264136678687,-0.17459270801399213,0.022376167080749923,171
TADA2A,0.1461457120157226,0.06267196232257197,0.012646706414374811,0.8695967452048641,171
LPIN1,0.14554930080770154,0.06376308805740577,0.04468526932901501,0.5616854770609255,171
USP39,0.14457701183834634,0.0655751657396128,0.3992610454683354,6.32398782706745e-08,171
SETD2,0.14415813698992225,0.06636868958936293,-0.07318385843946074,0.3414723253852517,171
IRX2,0.1441443668174718,0.06639490849574503,0.06368836691910496,0.4079166069859554,171
MPRIP,0.14407491682136117,0.06652727264288968,0.06468192135379362,0.4006266191151617,171
ACTL8,0.14400330313515233,0.06666398593719905,-0.08212503348824475,0.2855871558795064,171
KDM1A,0.1432635201778907,0.06808971617612783,0.1900377937203607,0.012789792993276256,171
HOOK3,0.14257695378726182,0.06943501515801372,0.0758754385217686,0.3239636694516488,171
AMOTL2,0.14122462604814437,0.07214807674374629,0.0034223746744280257,0.9645654468348345,171
LATS2,0.14058383075022407,0.0734633527183221,-0.07209306651132079,0.34873566938619643,171
PRKD2,0.14043264744400477,0.07377648232717818,-0.15724203640895887,0.03998345763924178,171
ABHD15,0.13991252139049806,0.07486202928231703,-0.32630158536832704,1.3278475844813087e-05,171
BCL6B,0.13952693460949842,0.07567509386621604,-0.09417650309389407,0.2204961555753185,171
RASSF4,0.13696930142905472,0.08125056181838264,-0.2125112274169554,0.005262525274666057,171
SZRD1,0.13692214333353675,0.0813563831688767,-0.1352113994356685,0.07785726690200565,171
